Agewt,ECG-0,ECG-1,BM-0,BM-1,CP-0,CP-1,CP-2,DB-0,DB-1,PFH-0,PFH-1,CHOL-0,CHOL-1,SCORE,Max-Score
0.035,0.000,0.904,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.000,0.491,2.509,
0.035,0.000,0.904,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.509,0.000,2.253,
0.035,0.000,0.904,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.000,0.491,2.235,
0.035,0.000,0.904,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.509,0.000,2.715,
0.035,0.000,0.904,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.000,0.491,2.697,
0.035,0.000,0.904,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.000,0.363,0.509,0.000,2.441,
0.035,0.000,0.904,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.000,0.363,0.000,0.491,2.423,
0.085,0.096,0.000,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.637,0.000,0.509,0.000,2.765,
0.085,0.096,0.000,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.637,0.000,0.000,0.491,2.747,
0.085,0.096,0.000,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.000,0.363,0.509,0.000,2.491,
0.085,0.096,0.000,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.000,0.363,0.000,0.491,2.473,
0.085,0.096,0.000,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.637,0.000,0.509,0.000,2.953,
0.085,0.096,0.000,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.637,0.000,0.000,0.491,2.935,
0.085,0.096,0.000,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.000,0.363,0.509,0.000,2.679,
0.085,0.096,0.000,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.000,0.363,0.000,0.491,2.661,
0.085,0.096,0.000,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.637,0.000,0.509,0.000,3.657,
0.085,0.096,0.000,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.637,0.000,0.000,0.491,3.639,
0.085,0.096,0.000,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.000,0.363,0.509,0.000,3.383,
0.085,0.096,0.000,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.000,0.363,0.000,0.491,3.365,
0.085,0.096,0.000,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.637,0.000,0.509,0.000,3.845,
0.085,0.096,0.000,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.637,0.000,0.000,0.491,3.827,
0.085,0.096,0.000,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.000,0.363,0.509,0.000,3.571,
0.085,0.096,0.000,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.000,0.363,0.000,0.491,3.553,
0.085,0.096,0.000,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.509,0.000,2.753,
0.085,0.096,0.000,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.000,0.491,2.735,
0.085,0.096,0.000,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.509,0.000,2.479,
0.085,0.096,0.000,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.000,0.491,2.461,
